circuito	autodeterminación y libertad	frente de izquierda y de trabajadores - unidad	frente de todos	juntos por el cambio	la libertad avanza	suma	jxc_g_fdt	dif_jxc_fdt	p_autodeterminación y libertad	p_frente de izquierda y de trabajadores - unidad	p_frente de todos	p_juntos por el cambio	p_la libertad avanza
149	321	817	2237	11773	3348	18496	TRUE	9536	0.017355104	0.044171713	0.120945069	0.636516003	0.181012111
150	101	277	734	6884	1858	9854	TRUE	6150	0.010249645	0.028110412	0.074487518	0.698599553	0.188552872
151	299	929	2317	12945	3303	19793	TRUE	10628	0.015106351	0.046935785	0.117061587	0.654019098	0.166877179
152	266	790	1948	8913	2239	14156	TRUE	6965	0.018790619	0.055806725	0.137609494	0.629627013	0.158166149
153	487	1206	3243	9088	2515	16539	TRUE	5845	0.029445553	0.072918556	0.196081988	0.549489086	0.152064816
154	548	1536	4087	10133	2735	19039	TRUE	6046	0.028783024	0.080676506	0.214664636	0.532223331	0.143652503
155	509	1417	4118	9084	2895	18023	TRUE	4966	0.028241691	0.078621761	0.228485824	0.504022638	0.160628086
156	247	743	1954	3356	1060	7360	TRUE	1402	0.033559783	0.100951087	0.26548913	0.455978261	0.144021739
157	380	1145	3047	5377	1651	11600	TRUE	2330	0.032758621	0.098706897	0.262672414	0.463534483	0.142327586
158	667	1457	3814	6502	1934	14374	TRUE	2688	0.046403228	0.101363573	0.265340198	0.452344511	0.13454849
159	389	900	2524	3680	1165	8658	TRUE	1156	0.044929545	0.103950104	0.291522292	0.425040425	0.134557635
160	831	1622	4392	7804	2283	16932	TRUE	3412	0.049078668	0.095794944	0.259390503	0.460902433	0.134833451
161	670	1448	4075	5999	2184	14376	TRUE	1924	0.046605454	0.100723428	0.283458542	0.41729271	0.151919866
162	490	1183	3795	4493	1850	11811	TRUE	698	0.04148675	0.100160867	0.321310643	0.380408094	0.156633647
163	324	941	2926	3255	1241	8687	TRUE	329	0.037297111	0.108322781	0.336825141	0.374697824	0.142857143
164	308	890	2539	3604	1259	8600	TRUE	1065	0.035813953	0.103488372	0.295232558	0.419069767	0.146395349
165	547	1411	3755	6646	2177	14536	TRUE	2891	0.03763071	0.097069345	0.258324161	0.457209686	0.149766098
166	461	1211	3786	5294	2012	12764	TRUE	1508	0.036117205	0.094876214	0.296615481	0.414760263	0.157630837
167	406	1064	2967	5419	1802	11658	TRUE	2452	0.034825871	0.091267799	0.254503345	0.464831017	0.154571968
